Date,Receiver Name,Receiver Email,Sender Name,Sender Email,Star,Comment
2019-01-10 00:00:00.0,Amarjeet Malik,amarjeet@gmail.com,Dolly Singh,1411dolly@gmail.com,GOLD,reason1
2018-02-09 00:00:00.0,Aditya Singh,aditya@gmail.com,Amarjeet Malik,amarjeet@gmail.com,SILVER,reason2
2017-03-08 00:00:00.0,Dolly Singh,1411dolly@gmail.com,Dharmendra Saini,dharmendra@gmail.com,BRONZE,reason3
2016-04-07 00:00:00.0,Dharmendra Saini,dharmendra@gmail.com,Aditya Singh,aditya@gmail.com,GOLD,reason4
2019-04-06 00:00:00.0,Dharmendra Saini,dharmendra@gmail.com,Dolly Singh,1411dolly@gmail.com,SILVER,reason5
2019-04-05 00:00:00.0,Aditya Singh,aditya@gmail.com,Amarjeet Malik,amarjeet@gmail.com,BRONZE,reason6
2019-04-04 00:00:00.0,Amarjeet Malik,amarjeet@gmail.com,Aditya Singh,aditya@gmail.com,GOLD,reason7
2015-08-03 00:00:00.0,Dolly Singh,1411dolly@gmail.com,Dharmendra Saini,dharmendra@gmail.com,SILVER,reason8
2019-04-02 00:00:00.0,Dolly Singh,1411dolly@gmail.com,Amarjeet Malik,amarjeet@gmail.com,SILVER,reason9
2019-01-01 00:00:00.0,Dharmendra Saini,dharmendra@gmail.com,Aditya Singh,aditya@gmail.com,GOLD,reason10
2019-04-12 17:38:41.0,Dolly Singh,1411dolly@gmail.com,Dharmendra Saini,dharmendra@gmail.com,GOLD,12345678
